source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.93710327, 40.84321976)", ,21.35000,29.930, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86965179, 40.65504456)']"
"(-73.785924, 40.645134)","(-73.93714905, 40.85057068)", ,21.04000,28.850, , ,,,"(-73.93714905, 40.85057068):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93715668, 40.68399429)", ,10.56000,17.320, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78045654, 40.68896103)']"
"(-73.785924, 40.645134)","(-73.93715668, 40.69596863)", ,10.74000,16.720, , ,,,"(-73.93715668, 40.69596863):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93716431, 40.68105698)", ,10.49000,16.560, , ,,,"(-73.93716431, 40.68105698):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.93718719, 40.70351028)", ,10.99000,17.140, , ,,,"(-73.93718719, 40.70351028):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93719482, 40.85126495)", ,21.10000,29.070, , ,,,"(-73.93719482, 40.85126495): D2: (-73.84326172, 40.85540771)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.93721008, 40.70566559)", ,11.25000,17.810, , ,,,"(-73.93721008, 40.70566559): D2: (-73.80497742, 40.69213486)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.93721771, 40.67974854)", ,10.28000,15.840, , ,,,"(-73.93721771, 40.67974854):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93722534, 40.69811249)", ,10.78000,16.710, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.89182281, 40.66988754)', '(-73.90979767, 40.67890167)', '(-73.83515167, 40.71849442)']"
"(-73.785924, 40.645134)","(-73.93727112, 40.68098831)", ,10.49000,16.540, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78107452, 40.64664841)', '(-73.84040833, 40.6531601)', '(-73.88407135, 40.66598511)', '(-73.79951477, 40.71831131)', '(-73.78356171, 40.84526062)', '(-73.84752655, 40.72739029)']"
"(-73.785924, 40.645134)","(-73.93727875, 40.66815186)","(-73.92687988, 40.66886139)",10.65000,17.460,9.82000,15.200,18.55000,15.960,Matched
"(-73.785924, 40.645134)","(-73.93730164, 40.79685211)","(-73.85105133, 40.86278915)",17.73000,25.510,18.86000,27.300,30.48500,34.000,Matched
"(-73.785924, 40.645134)","(-73.93731689, 40.85645676)", ,21.54000,30.270, , ,,,"(-73.93731689, 40.85645676):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.93733215, 40.68626022)", ,11.08000,18.610, , ,,,"(-73.93733215, 40.68626022):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.93734741, 40.68850327)", ,10.87000,18.770, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.80912781, 40.65423965)', '(-73.81263733, 40.69636917)', '(-73.78453827, 40.66630554)']"
"(-73.785924, 40.645134)","(-73.93736267, 40.85390854)","(-73.91671753, 40.77316666)",21.32000,29.450,14.41000,19.560,29.13500,26.800,Matched
"(-73.785924, 40.645134)","(-73.93739319, 40.7503891)", ,15.68000,22.230, , ,,,"(-73.93739319, 40.7503891):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.93742371, 40.81266403)", ,18.10000,25.990, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.80805206, 40.6842804)']"
"(-73.785924, 40.645134)","(-73.93743134, 40.62171936)","(-73.90943909, 40.64204788)",11.65000,17.780,9.71000,14.450,18.60000,16.800,Matched
"(-73.785924, 40.645134)","(-73.93743134, 40.85354614)", ,21.30000,29.400, , ,,,"(-73.93743134, 40.85354614):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.93746185, 40.74982071)", ,15.62000,21.960, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86910248, 40.76105118)', '(-73.8195343, 40.6924324)', '(-73.90709686, 40.77825928)', '(-73.92254639, 40.76413345)', '(-73.91448212, 40.7699852)', '(-73.82186127, 40.75619888)', '(-73.78076935, 40.68397903)', '(-73.8125, 40.70249557)']"
"(-73.785924, 40.645134)","(-73.93746948, 40.85342789)", ,21.29000,29.390, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.81539917, 40.71889114)', '(-73.77494049, 40.78412628)', '(-73.87321472, 40.72695541)', '(-73.87045288, 40.76814651)', '(-73.87349701, 40.72670746)']"
"(-73.785924, 40.645134)","(-73.9375, 40.61132813)", ,13.32000,18.790, , ,,,"(-73.9375, 40.61132813):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.9375, 40.85305405)", ,21.26000,29.310, , ,,,"(-73.9375, 40.85305405):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.93753052, 40.68622208)", ,11.07000,18.570, , ,,,"(-73.93753052, 40.68622208):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93753052, 40.8442955)","(-73.90774536, 40.75542068)",21.25000,29.490,14.64000,19.570,29.38500,28.040,Matched
"(-73.785924, 40.645134)","(-73.93753815, 40.7922287)", ,18.17000,26.710, , ,,,"(-73.93753815, 40.7922287):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.93756104, 40.6557579)", ,10.42000,16.070, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.80912781, 40.65423965)', '(-73.81263733, 40.69636917)', '(-73.78453827, 40.66630554)']"
"(-73.785924, 40.645134)","(-73.93759155, 40.70418167)", ,11.31000,18.540, , ,,,"(-73.93759155, 40.70418167):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.93759155, 40.84027863)","(-73.91674042, 40.76962662)",21.37000,29.990,14.36000,19.500,29.35500,26.410,Matched
"(-73.785924, 40.645134)","(-73.93759155, 40.84975815)","(-73.84460449, 40.66250992)",21.23000,29.550,5.46000,8.790,20.23500,29.210,Matched
"(-73.785924, 40.645134)","(-73.93759155, 40.85611725)", ,21.51000,30.170, , ,,,"(-73.93759155, 40.85611725): D2: (-73.70680237, 40.94975281)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.93761444, 40.71460724)", ,12.04000,18.970, , ,,,"(-73.93761444, 40.71460724):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.9376297, 40.68994904)", ,11.13000,18.870, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.89875031, 40.63646698)', '(-73.90746307, 40.64358139)', '(-73.75687408, 40.68473053)']"
"(-73.785924, 40.645134)","(-73.9376297, 40.84593964)","(-73.85900879, 40.83841705)",21.22000,29.570,17.20000,25.200,31.98500,30.060,Matched
