source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.82692719, 40.69680023)", ,6.65000,10.420, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.76891327, 40.69947052)', '(-73.79402924, 40.65670776)']"
"(-73.785924, 40.645134)","(-73.8273468, 40.69430161)","(-73.80250549, 40.69096756)",6.18000,8.920,5.03000,8.650,9.49000,10.460,Matched
"(-73.785924, 40.645134)","(-73.82897186, 40.70869064)","(-73.81965637, 40.70231247)",7.06000,10.570,5.99000,8.450,11.27500,9.180,Matched
"(-73.785924, 40.645134)","(-73.82904816, 40.7087822)", ,7.06000,10.540, , ,,,"(-73.82904816, 40.7087822):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.82930756, 40.69573593)", ,6.37000,9.510, , ,,,"(-73.82930756, 40.69573593):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83023071, 40.69263077)", ,6.41000,9.500, , ,,,"(-73.83023071, 40.69263077):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.83032227, 40.71089935)", ,7.02000,10.570, , ,,,"(-73.83032227, 40.71089935):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83033752, 40.76015472)", ,10.33000,14.470, , ,,,"(-73.83033752, 40.76015472):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83042145, 40.68872833)", ,5.37000,10.460, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78307343, 40.64385986)']"
"(-73.785924, 40.645134)","(-73.83158112, 40.75988007)","(-73.77867889, 40.72608185)",10.39000,14.660,9.26000,13.810,16.59000,18.870,Matched
"(-73.785924, 40.645134)","(-73.83171844, 40.76259995)", ,10.67000,14.270, , ,,,"(-73.83171844, 40.76259995):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83181763, 40.70597076)", ,6.76000,9.820, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.74607086, 40.66344833)']"
"(-73.785924, 40.645134)","(-73.8328476, 40.76157761)","(-73.79284668, 40.6587677)",10.65000,14.440,1.72000,5.080,8.94000,14.180,Matched
"(-73.785924, 40.645134)","(-73.83320618, 40.74817276)","(-73.82331085, 40.72621536)",9.33000,12.480,7.76000,10.540,14.00000,12.480,Matched
"(-73.785924, 40.645134)","(-73.83352661, 40.75603867)", ,9.89000,13.460, , ,,,"(-73.83352661, 40.75603867):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83459473, 40.71823502)", ,7.40000,10.540, , ,,,"(-73.83459473, 40.71823502):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.83529663, 40.67842102)", ,4.98000,8.510, , ,,,"(-73.83529663, 40.67842102):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83651733, 40.71903229)", ,7.53000,10.660, , ,,,"(-73.83651733, 40.71903229):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.83740997, 40.69107056)", ,6.95000,11.090, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75437164, 40.66233063)', '(-73.80250549, 40.69096756)']"
"(-73.785924, 40.645134)","(-73.83746338, 40.70149994)","(-73.79193878, 40.66595459)",6.99000,10.300,3.51000,6.280,8.66000,11.100,Matched
